portal,operacion,url,titulo,tipo_inmueble,barrio,precio_moneda,precio_valor,gastos_comunes,dormitorios,banos,m2
Veocasas,venta,https://veocasas.com/properties/cmny0eid93uiafumt0yl8amed,Venta apartamento 2 dormitorios con patio en Cordón / Tres Cruces – Planta baja reciclada,Apartamento,Tres Cruces,USD,114900,2650,2,1,
Veocasas,venta,https://veocasas.com/properties/cmnrthgeg007qm9jv2qdrj76o,Monoambiente a estrenar en venta con renta inmediata 5.5% rentabilidad anual- Malvin,Apartamento,Malvín,USD,115000,3000,0,1,
Veocasas,venta,https://veocasas.com/properties/cmnqteiqq008m7meq2fe0goof,Venta Apartamento 3 Dormitorios Villa Biarritz | Bilú Biarritz Frente Parque y Rambla,Apartamento,,USD,510590,,3,4,
Veocasas,venta,https://veocasas.com/properties/cmosa3y8d00fzw9wa17465zae,Apartamento de 3 dormitorios en venta en Carrasco,Apartamento,Carrasco,USD,500000,15000,3,4,205.0
Veocasas,venta,https://veocasas.com/properties/cmknofyos00eaz6m6u2tspo4h,Casa de 2 dormitorios a estrenar en Housing cerrado,Casa,,USD,219300,8000,2,1,70.0
Veocasas,venta,https://veocasas.com/properties/cmhuttzdp00lmzqsyvzqsdwis,Venta casa 3 dormitorios + servicio completo con piscina - Prado - Ref 399,Casa,Prado,USD,670000,,3,4,1136.0
Veocasas,venta,https://veocasas.com/properties/cmmf7o8kl027wk77b5e5yd4rt,Venta Apartamento 1 Dormitorio Balcón Amenities Nostrum Garden - Prado,Apartamento,Prado,USD,134352,,1,1,38.0
Veocasas,venta,https://veocasas.com/properties/cmnduls9r1vuxwykg743v30i6,Casa en Punta Carretas,Casa,Punta Carretas,USD,495000,,3,3,134.0
Veocasas,venta,https://veocasas.com/properties/cmmfah9sh003zgc1v4371xsl5,Casa 5 Dormitorios en Barrio Los Olivos: Divino Fondo y Piscina,Casa,,USD,1590000,,5,4,
Veocasas,venta,https://veocasas.com/properties/cmmojspy800ro6g1p1psk23nt,VENTA CON RENTA apartamento 1 dorm piso alto con gran terraza lateral gge Pocitos Nuevo impecable,Apartamento,Pocitos Nuevo,USD,202000,6870,1,,82.0
Veocasas,venta,https://veocasas.com/properties/cmlv10cnm0038f5nnl8tmumzk,Venta apartamento monoambiente en Cordón,Apartamento,Cordón,USD,113000,6000,1,1,47.0
Veocasas,venta,https://veocasas.com/properties/cmh0os10t05n24dxka1jc866r,Casa 3 dormitorios al lago - Proyecto Marinas Carrasco - Ref 1173,Casa,Carrasco,USD,700000,12000,3,3,296.2
Veocasas,venta,https://veocasas.com/properties/cmln6t40g002l2z4j8p90oh37,Espléndido Penthouse Duplex con Piscina en Carrasco,,Carrasco,USD,1560000,40000,3,4,240.0
Veocasas,venta,https://veocasas.com/properties/cmljr855t007ibdu8qggnakst,Venta Casa 3 dormitorios + servicio - ZEN RESERVA - Ref 2079,Casa,,USD,665600,,3,4,
Veocasas,venta,https://veocasas.com/properties/cminhbvnt0004bw246bgr7wrg,Venta Terreno Corazón De Pocitos,Terreno,Pocitos,USD,780000,,,,206.0
Veocasas,venta,https://veocasas.com/properties/cmgfmkqts01ad9d8vbqhxc1n3,Espectacular Casa a la Venta con Renta en San Nicolás,Casa,,USD,1750000,28500,3,3,1050.0
Veocasas,venta,https://veocasas.com/properties/cmgfaw71m03nihvauo9vxy9em,Elegante casa a la venta en centro de Carrasco,Casa,Carrasco,USD,1390000,,4,5,1220.0
Veocasas,venta,https://veocasas.com/properties/cmlajfeiw00ili0g9geavmy2t,Oportunidad a estrenar de 2 dormitorios con garaje incluido,,,USD,201000,,2,1,73.0
Veocasas,venta,https://veocasas.com/properties/cmqc0ajbk00lrshhoodkc13b4,Apartamento dúplex de 2 dormitorios en venta,Apartamento,,USD,144300,6000,2,2,76.0
Veocasas,venta,https://veocasas.com/properties/cmqul0kxa044a3dm2lwhkcg5v,Apartamento de 2 dormitorios en Palermo,Apartamento,Palermo,USD,163988,,2,1,62.0
Veocasas,venta,https://veocasas.com/properties/cmrq0q0sg014ctc8rwq4r3pot,Apartamento en venta de 2 dormitorios con patio en Aguada,Apartamento,Aguada,USD,166935,,2,1,108.0
Veocasas,venta,https://veocasas.com/properties/cmgkw83p90zfbsi7s1653diya,"Apartamentos en venta 1 dormitorio sobre Franzini, Pocitos.",Apartamento,Pocitos,USD,213350,,1,1,59.0
Veocasas,venta,https://veocasas.com/properties/cmgkw84xr0zkbsi7s02tozax7,Apartamento de 1 dormitorio en piso alto en venta,Apartamento,,USD,155800,,1,1,42.0
Veocasas,venta,https://veocasas.com/properties/cmgkw86iq0zq7si7szbd1ky4o,Apartamento en venta de 2 dormitorios en parque batlle,Apartamento,Parque Batlle,USD,229500,,2,1,79.0
Veocasas,venta,https://veocasas.com/properties/cmgkw888d0zvvsi7sjkivpbg9,Apartamento en venta de 1 dormitorio en Malvin,Apartamento,Malvín,USD,152000,,1,1,55.0
Veocasas,venta,https://veocasas.com/properties/cmgkw88980zvzsi7sw1huwjdy,Venta de apartamento de 1 dormitorio en Malvin,Apartamento,Malvín,USD,153000,,1,1,56.0
Veocasas,alquiler,https://veocasas.com/properties/cmpejr7ky013dk584showqhw9,Alquiler apartamento 2 dormitorios con garage en Tres Cruces,Apartamento,Tres Cruces,UYU,30000,8000,2,1,58.0
Veocasas,alquiler,https://veocasas.com/properties/cmps04aa200lb118i7peusga5,Apartamento de 1 dormitorio en alquiler,Apartamento,,UYU,28000,4500,1,1,45.0
Veocasas,alquiler,https://veocasas.com/properties/cmpcpw3xr00ir7i7cnhd91vpi,"Apartamento en alquiler en Pocitos 621, en Edificio Torre Sábato, de 3 dormitorios, con terraza y vista despejada",Apartamento,Pocitos,USD,1700,24000,3,3,1.0
Veocasas,alquiler,https://veocasas.com/properties/cmmejrhnp00nn126vf2rxtvri,Apartamento de 1 dormitorio en alquiler en Centro,Apartamento,Centro,UYU,33000,14150,1,1,58.0
Veocasas,alquiler,https://veocasas.com/properties/cmn8k02qb1ssn83bl53dfxsgk,Apartamento en alquiler de 1 dormitorio en Cordón,Apartamento,Cordón,UYU,29700,4500,1,1,45.0
Veocasas,alquiler,https://veocasas.com/properties/cmrq0pc59013mtc8r1ofjehy4,Totalmente equipado y muy bien puesto,,,USD,1300,13000,2,1,52.0
Veocasas,alquiler,https://veocasas.com/properties/cmo14qrfq5rdy6mny5bj6s884,Apartamento de 2 dormitorios en alquiler a estrenar,Apartamento,,UYU,42500,6500,2,1,60.0
Veocasas,alquiler,https://veocasas.com/properties/cmrg0m8c846fadxg0wnvx0vto,Apartamento de 1 dormitorio en Pocitos,Apartamento,Pocitos,USD,1200,5420,1,1,60.0
