portal,operacion,url,titulo,tipo_inmueble,barrio,precio_moneda,precio_valor,gastos_comunes,dormitorios,banos,m2
InfoCasas,venta,https://www.infocasas.com.uy/venta-apartamento-1-dormitorio-con-patio-en-cordon/192303162,Venta apartamento 1 dormitorio con patio en Cordón,Apartamento,Cordón,USD,146840,,1,1,76
InfoCasas,venta,https://www.infocasas.com.uy/reservadacasa-de-altos-republica-francesa-esq-blas-basualdo/192110876,****RESERVADA****CASA DE ALTOS - REPUBLICA FRANCESA ESQ. BLAS BASUALDO,Casa,Capurro,USD,92000,,3,1,82
InfoCasas,venta,https://www.infocasas.com.uy/apartamento-en-venta-c-cochera-en-pocitos/192746422,Apartamento en venta c/ cochera en Pocitos,Apartamento,Pocitos,USD,680000,40000,5,3,271
InfoCasas,venta,https://www.infocasas.com.uy/apartamentos-en-pocitos-nuevo/193550103,Apartamentos en Pocitos Nuevo,Apartamento,Pocitos Nuevo,USD,149000,4500,1,1,42
InfoCasas,venta,https://www.infocasas.com.uy/venta-de-local-comercial-en-la-union-excelente-oportunidad-de-desarrollo/193949258,Venta de Local Comercial En La Union Excelente Oportunidad De Desarrollo,Local Comercial,Unión,USD,420000,,,3,394
InfoCasas,venta,https://www.infocasas.com.uy/venta-pocitos-a-una-cuadra-de-la-rambla-3-dormitorios-2-baños-garaje-fijo-calefaccion-/193939522,VENTA | POCITOS | A UNA CUADRA DE LA RAMBLA | 3 DORMITORIOS | 2 BAÑOS | GARAJE FIJO | CALEFACCIÓN. -,Apartamento,Pocitos,USD,330000,24000,3,2,120
InfoCasas,venta,https://www.infocasas.com.uy/venta-con-renta-apartamento-1-dormitorio-punta-carretas/193698931,"Venta con renta apartamento 1 dormitorio, Punta Carretas",Apartamento,Punta Carretas,USD,189000,6000,1,1,55
InfoCasas,venta,https://www.infocasas.com.uy/venta-casa-ph-de-altos-reducto/193856145,Venta Casa - Ph De Altos! Reducto,Casa,Capurro Bella Vista,USD,295000,,3,3,177
InfoCasas,venta,https://www.infocasas.com.uy/oportunidad-de-inversion-en-el-prado-4-dorm-y-gge/193779966,Oportunidad de inversion en el Prado 4 dorm y Gge!,Casa,Prado Nueva Savona,USD,185000,,4,1,105
InfoCasas,venta,https://www.infocasas.com.uy/venta-apartamento-2-dormitorios-2-baños-punta-carretas/193853580,Venta apartamento 2 dormitorios 2 baños Punta Carretas,Apartamento,Punta Carretas,USD,230000,9600,2,2,58
