portal,operacion,url,titulo,tipo_inmueble,barrio,precio_moneda,precio_valor,gastos_comunes,dormitorios,banos,m2
Casasymas,venta,https://www.casasymas.com.uy/propiedad/277107-venta-apartamento-3-dormitorios-y-servicio-con-garage-en-el-centro#venta,Venta apartamento 3 dormitorios y servicio con Garage en el Centro,,Centro,USD,245000,,3,2,90
Casasymas,venta,https://www.casasymas.com.uy/propiedad/270109-apartamento-en-venta-en-cordon#venta,Apartamento en venta en Cordón,,Cordón,USD,115000,,1,1,36
Casasymas,venta,https://www.casasymas.com.uy/propiedad/276775-casa-en-venta-de-3-dormitorios-con-garage-en-punta-carretas-montevideo#venta,"Casa en Venta de 3 dormitorios con  Garage en Punta Carretas, Montevideo",,Punta Carretas,USD,400000,,3,3,300
Casasymas,venta,https://www.casasymas.com.uy/propiedad/270050-venta-casa-3-dormitorios-2-banos-garage-patio-parrillero-la-comercial-montevideo#venta,Venta Casa 3 Dormitorios 2 Baños Garage Patio Parrillero La Comercial Montevideo,,La Comercial,USD,215000,,3,2,160
Casasymas,venta,https://www.casasymas.com.uy/propiedad/267831-casa-en-venta-en-paso-molino-4-dormitorios-2-banos#venta,Casa en venta en Paso Molino 4 dormitorios 2 baños,,Paso Molino,USD,187000,,4,2,207
Casasymas,venta,https://www.casasymas.com.uy/propiedad/266160-apartamento-en-venta-c-garage-en-malvin#venta,Apartamento en venta c/ garage en Malvin,,Malvín,USD,457000,,3,3,108
Casasymas,venta,https://www.casasymas.com.uy/propiedad/262335-apartamento-en-venta-de-3-dormitorios-con-piscina-en-carrasco-norte-montevideo#venta,"Apartamento en Venta de 3 dormitorios con  Piscina en Carrasco Norte, Montevideo",,Carrasco Norte,USD,680000,,3,3,157
Casasymas,venta,https://www.casasymas.com.uy/propiedad/263011-apartamento-sobre-rambla-con-vista-al-rio#venta,Apartamento sobre Rambla con vista al río,,Carrasco,USD,730000,17500,3,3,156
Casasymas,venta,https://www.casasymas.com.uy/propiedad/262082-venta-de-casa-de-2-dormitorios-en-belvedere-sobre-av-carlos-maria-ramirez#venta,Venta de casa de 2 dormitorios en Belvedere sobre Av Carlos María Ramírez.,,Belvedere,USD,109000,,2,2,105
Casasymas,venta,https://www.casasymas.com.uy/propiedad/269841-apartamento-en-venta-de-2-dormitorios-con-piscina-y-garage-en-pocitos-montevideo#venta,"Apartamento en Venta de 2 dormitorios con Piscina y Garage en Pocitos, Montevideo",,Pocitos,USD,254000,,2,1,52
Casasymas,venta,https://www.casasymas.com.uy/propiedad/262646-apartamento-en-venta-de-1-dormitorio-a-estrenar-en-punta-carretas-montevideo#venta,"Apartamento en venta de 1 dormitorio, a estrenar, en Punta Carretas, Montevideo",,Punta Carretas,USD,192000,,1,1,
Casasymas,venta,https://www.casasymas.com.uy/propiedad/267956-apartamento-en-venta-de-2-dormitorios-con-garage-en-parque-rodo-montevideo#venta,"Apartamento en Venta de 2 dormitorios con  Garage en Parque Rodó, Montevideo",,Parque Rodó,USD,271015,,2,1,90
Casasymas,venta,https://www.casasymas.com.uy/propiedad/261688-venta-casa-en-reducto-4-dormitorios-ph#venta,Venta casa en Reducto 4 dormitorios ph,,Reducto,USD,129000,,4,1,120
Casasymas,venta,https://www.casasymas.com.uy/propiedad/270852-casa-en-venta-en-buceo-3-dormitorios-c-cochera#venta,Casa en venta en Buceo 3 dormitorios c/ cochera,,Buceo,USD,430000,,3,3,257
Casasymas,venta,https://www.casasymas.com.uy/propiedad/274746-apartamento-en-venta-de-3-dormitorios-con-garage-en-pocitos-montevideo#venta,"Apartamento en Venta de 3 dormitorios con  Garage en Pocitos, Montevideo",,Pocitos,USD,375000,,3,2,136
Casasymas,venta,https://www.casasymas.com.uy/propiedad/262994-apartamento-4-dormitorios-a-venta-sobre-la-rambla-de-carrasco-moderno#venta,Apartamento 4 dormitorios a Venta sobre la Rambla de Carrasco. Moderno.,,Carrasco,USD,3600000,,4,6,820
Casasymas,venta,https://www.casasymas.com.uy/propiedad/269530-venta-apartamento-a-estrenar-de-2-dormitorios-garaje-barrio-parques-ref-2211#venta,Venta apartamento a estrenar de 2 dormitorios + garaje Barrio Parques - Ref 2211,,Parques Barrio Jardín,USD,450000,,2,2,122
Casasymas,venta,https://www.casasymas.com.uy/propiedad/267278-venta-monoambiente-cochera-edificio-trade-plaza-funcionalidad-y-prestigio-en-montevideo-uruguay#venta,"VENTA, Monoambiente + Cochera, Edificio Trade Plaza: Funcionalidad y Prestigio en Montevideo, Uruguay.",,Buceo,USD,174000,,,1,48
